"score1","score2","score3","score4","score5","score6"
"0.2324","0","0","0.0","0.2609","0.0"
"0.4766","0","1","0.0","0.1304","0.0"
"0.1461","0","0","0.0","0","0.0"
"0.6594","0.0588","1","0.0","0.7391","0.0"
"0.1408","0","0","0.0","0","0.0"
"0.4047","0.3333","0","0.0","0.1739","0.0"
"0.1309","0","0","0.0","0","0.0"
"0.2584","0","0","0.0","0.0435","0.0"
"0.5429","0","1","0.0","0.2174","0.0"
"0.2981","0.3333","0","0.0","0.2609","0.0"
"0.459","0","1","0.0","0.087","0.0"
"0.5837","0","1","0.0","0.2609","0.0"
"0.4046","0","1","0.0","0.087","0.0"
"0.2664","0","0","0.0","0.1304","0.0"
"0.5408","0","1","0.0","0.087","0.0"
"0.4102","0","0","0.0","0.1304","0.0"
"0.459","0","1","0.0","0.1739","0.0"
"0.3232","0.3","1","0.0","0.087","0.0"
"1","0.1304","0","0.0","1","0.0"
"0.1881","0.2857","0","0.0","0","0.0"
"0.3095","0.1","1","0.0","0","0.0"
"0.3281","0.3","1","0.0","0.0435","0.0"
"0.4793","0","1","0.0","0.087","0.0"
"0.2949","0","0","0.0","0.3478","0.0"
"0.2077","0","0","0.0","0.087","0.0"
"0.2832","0","0","0.0","0.087","0.0"
"0.346","0","1","0.0","0.1304","0.0"
"0.35","0","1","0.0","0.1304","0.0"
"0.8194","0","0","0.0","0.1739","0.0"
"0.4616","0.1","1","0.0","0.087","0.0"
"0.6633","0.1333","1","1.0","0.2174","0.0"
"0.5829","0","1","0.0","0.5652","0.0"
"0.4818","0.6364","1","0.0","0.1304","0.0"
"0.3181","0.25","1","0.0","0","0.0"
"0.2811","0","0","0.0","0.087","0.0"
"0.9434","0.16","0","1.0","0.2609","0.0"
"0.3059","0.125","0","0.0","0.087","0.0"
"0.2998","0","0","0.0","0.087","0.0"
"0.3558","0","0.0","0.0","6","1.0"
"0.3981","0.125","1.0","0.0","2","1.0"
"0.6614","0.5714","1.0","0.0","2","0.0"
"0","0","0.0","0.0","0","1.0"
"0.4511","0.25","1.0","0.0","10","1.0"
"0.8654","0","1.0","0.0","5","1.0"
"0.6198","0.1667","1.0","0.0","7","0.0"
"0.3706","0","1.0","0.0","4","0.0"
"0","0","0.0","0.0","0","1.0"
"0.6547","0","0.0","0.0","19","1.0"
"0","0","0.0","0.0","0","1.0"
"1","0","0.0","0.0","23","1.0"
"0.6635","0","0.0","0.0","2","1.0"
"0.6521","0","0.0","0.0","4","0.0"
"0","0","0.0","0.0","0","1.0"
"0.5683","0","1.0","0.0","17","1.0"
"0.6004","0.2222","1.0","0.0","6","1.0"
"0.496","0.5455","1.0","0.0","4","0.0"
"0.7017","0.2","1.0","0.0","3","0.0"
"0.4266","0.1111","1.0","0.0","3","0.0"
"0.3997","0.1111","1.0","0.0","3","0.0"
"0","0","0.0","0.0","0","1.0"
"0.5926","0","1.0","0.0","14","1.0"
"0.7874","0","0.0","0.0","4","1.0"
"0.5538","0","1.0","0.0","3","0.0"
"0","0","0.0","0.0","0","1.0"
"0.3868","0","1.0","0.0","9","1.0"
"0.2513","0","0.0","0.0","0","1.0"
"0.2032","0","1.0","0.0","0","0.0"
"0.0966","0","0.0","0.0","1","0.0"
"0.4727","0","1.0","0.0","2","0.0"
"0","0","0.0","0.0","0","1.0"
"0.7832","0","0.0","0.0","20","1.0"
"0.4692","0","1.0","0.0","4","1.0"
"0.5095","0.1176","0.0","0.0","0","0.0"
"0.1901","0","0.0","0.0","1","0.0"
"0","0","0.0","0.0","0","1.0"
"0.3872","0","1.0","0.0","10","1.0"
"0.2298","0.1111","1.0","0.0","0","1.0"
"0.1637","0","0.0","0.0","0","0.0"
"0.3921","0","0.0","0.0","4","0.0"
"0.7866","0.375","0.0","0.0","4","0.0"
"0","0","0.0","0.0","0","1.0"
"0.6042","0","1.0","0.0","15","1.0"
"0","0","0.0","0.0","0","1.0"
